new_name	old_name
Pf3D7_13_v3-2841410-2841661	Pf3D7_13_v3-2841390-2841688
Pf3D7_13_v3-2844354-2844599	Pf3D7_13_v3-2844334-2844629
Pf3D7_02_v3-0320675-0320924	Pf3D7_02_v3-320652-320949
Pf3D7_03_v3-0240989-0241224	Pf3D7_03_v3-240957-241256
Pf3D7_05_v3-0615411-0615646	Pf3D7_05_v3-615379-615678
Pf3D7_06_v3-0857486-0857720	Pf3D7_06_v3-857454-857753
Pf3D7_08_v3-1365782-1365968	Pf3D7_08_v3-1365750-1365999
Pf3D7_08_v3-1366599-1366795	Pf3D7_08_v3-1366575-1366822
Pf3D7_08_v3-1370846-1371012	Pf3D7_08_v3-1370814-1371045
Pf3D7_08_v3-1375237-1375418	Pf3D7_08_v3-1375205-1375450
Pf3D7_08_v3-1386816-1387005	Pf3D7_08_v3-1386786-1387035
Pf3D7_11_v3-1902070-1902253	Pf3D7_11_v3-1902041-1902278
Pf3D7_11_v3-1950459-1950650	Pf3D7_11_v3-1950431-1950680
Pf3D7_11_v3-1968082-1968268	Pf3D7_11_v3-1968050-1968296
Pf3D7_11_v3-2001757-2001969	Pf3D7_11_v3-2001725-2001999
Pf3D7_13_v3-2770622-2770830	Pf3D7_13_v3-2770591-2770863
Pf3D7_13_v3-2814615-2814807	Pf3D7_13_v3-2814583-2814832
Pf3D7_13_v3-2840473-2840721	Pf3D7_13_v3-2840447-2840746
Pf3D7_03_v3-0221327-0221511	Pf3D7_03_v3-221295-221532
Pf3D7_03_v3-0980885-0981092	Pf3D7_03_v3-980853-981120
Pf3D7_04_v3-1083331-1083530	Pf3D7_04_v3-1083299-1083563
Pf3D7_04_v3-0748617-0748789	Pf3D7_04_v3-748585-748822
Pf3D7_07_v3-0403507-0403717	Pf3D7_07_v3-403487-403750
Pf3D7_07_v3-0405549-0405743	Pf3D7_07_v3-405517-405773
Pf3D7_08_v3-0550089-0550294	Pf3D7_08_v3-550057-550318
Pf3D7_12_v3-2092682-2092852	Pf3D7_12_v3-2092654-2092884
Pf3D7_13_v3-1725151-1725336	Pf3D7_13_v3-1725124-1725365
Pf3D7_13_v3-1725403-1725620	Pf3D7_13_v3-1725379-1725652
Pf3D7_13_v3-1725915-1726094	Pf3D7_13_v3-1725887-1726123
Pf3D7_13_v3-1726206-1726375	Pf3D7_13_v3-1726174-1726408
Pf3D7_14_v3-0294534-0294741	Pf3D7_14_v3-294503-294768
